PMID,cell_type,marker_genes,species,tissue_type,DB_name
28475899,murine macrophage,CD38,human,carcinoma|renal cell,MarkerGeneBERT
28475899,CD7^,CD7,human,carcinoma|renal cell,MarkerGeneBERT
28475899,M-0 cell,CD163,human,carcinoma|renal cell,MarkerGeneBERT
28475899,macrophage,CD163,human,carcinoma|renal cell,MarkerGeneBERT
28475899,pro-inflammatory,CIITA,human,carcinoma|renal cell,MarkerGeneBERT
28475899,pro-inflammatory,STAT2,human,carcinoma|renal cell,MarkerGeneBERT
28475899,pro-inflammatory,STAT1,human,carcinoma|renal cell,MarkerGeneBERT
28475899,pro-inflammatory,TLR4,human,carcinoma|renal cell,MarkerGeneBERT
28552604,CD133,PROM1,human,kidney|nephron,MarkerGeneBERT
28552604,pure epithelial colony,SIX2,human,kidney|nephron,MarkerGeneBERT
28552604,epithelial cell,SIX2,human,kidney|nephron,MarkerGeneBERT
28552604,stromal,FOXD1,human,kidney|nephron,MarkerGeneBERT
28552604,epithelial-like phenotype,KRT19,human,kidney|nephron,MarkerGeneBERT
28552604,epithelial-like phenotype,KRT18,human,kidney|nephron,MarkerGeneBERT
28552604,epithelial-like phenotype,EPCAM,human,kidney|nephron,MarkerGeneBERT
28552604,epithelial,EPCAM,human,kidney|nephron,MarkerGeneBERT
28552604,epithelial,CDH6,human,kidney|nephron,MarkerGeneBERT
28552604,epithelial,CDH1,human,kidney|nephron,MarkerGeneBERT
28552604,mesenchymal,WT1,human,kidney|nephron,MarkerGeneBERT
28552604,mesenchymal,SNAI2,human,kidney|nephron,MarkerGeneBERT
28552604,mesenchymal,SNAI1,human,kidney|nephron,MarkerGeneBERT
28552604,mesenchymal,SALL1,human,kidney|nephron,MarkerGeneBERT
28552604,mesenchymal,PAX2,human,kidney|nephron,MarkerGeneBERT
28552604,mesenchymal,OSR1,human,kidney|nephron,MarkerGeneBERT
28552604,mesenchymal,CITED1,human,kidney|nephron,MarkerGeneBERT
28552604,CD133,PROM1,human,kidney|nephron,MarkerGeneBERT
28562645,hematopoietic cell,CD34,human,periosteum|periosteal tissue,MarkerGeneBERT
28562645,clonal culture,CD34,human,periosteum|periosteal tissue,MarkerGeneBERT
28562645,clonal culture,CD14,human,periosteum|periosteal tissue,MarkerGeneBERT
28562645,mesenchymal stem/stromal cell,CD14,human,periosteum|periosteal tissue,MarkerGeneBERT
28562645,mesenchymal stem/stromal cell,CD34,human,periosteum|periosteal tissue,MarkerGeneBERT
28562645,mesenchymal stem/stromal cell,CD44,human,periosteum|periosteal tissue,MarkerGeneBERT
28569190,Circulating tumour cell,SPARC,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,cancer stem cell marker,ALDH1A1,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,cancer stem cell marker,CD44,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,cancer stem cell marker,CD24,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,epithelial,ZEB1,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,epithelial,EPCAM,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,epithelial,KRT19,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,epithelial,KRT8,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,Circulating tumour cell,SPARC,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,cancer stem cell marker,ALDH1A1,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,cancer stem cell marker,CD44,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,cancer stem cell marker,CD24,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,epithelial,ZEB1,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,epithelial,EPCAM,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,epithelial,KRT19,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,epithelial,KRT8,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,Circulating tumour cell,ALDH1A1,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,cancer stem cell marker,ALDH1A1,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,cancer stem cell marker,CD44,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,cancer stem cell marker,CD24,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,cancer stem cell marker,CD24,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,cancer stem cell marker,KRT8,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,epithelial marker,ZEB1,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,cancer stem cell,ALDH1A1,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,cancer stem cell,CD44,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,cancer stem cell,CD24,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28569190,mesenchymal,ZEB1,human,blood|pancreatic cancer|peripheral blood,MarkerGeneBERT
28586384,CGE-,MEIS2,human,neural|gabaergic neuron|cortical neuronal network,MarkerGeneBERT
28586384,CGE-,PROX1,human,neural|gabaergic neuron|cortical neuronal network,MarkerGeneBERT
28586384,interneuron population,MEIS2,human,neural|gabaergic neuron|cortical neuronal network,MarkerGeneBERT
28586384,interneuron population,PROX1,human,neural|gabaergic neuron|cortical neuronal network,MarkerGeneBERT
28586384,neural stem cell,SOX2,human,neural|gabaergic neuron|cortical neuronal network,MarkerGeneBERT
28586384,neural stem cell,DACH1,human,neural|gabaergic neuron|cortical neuronal network,MarkerGeneBERT
28586384,neural stem cell,HES5,human,neural|gabaergic neuron|cortical neuronal network,MarkerGeneBERT
28586384,neural stem cell marker,SOX2,human,neural|gabaergic neuron|cortical neuronal network,MarkerGeneBERT
28586384,neural stem cell marker,DACH1,human,neural|gabaergic neuron|cortical neuronal network,MarkerGeneBERT
28586384,neural stem cell marker,HES5,human,neural|gabaergic neuron|cortical neuronal network,MarkerGeneBERT
28586384,S2A-S2E,SOX2,human,neural|gabaergic neuron|cortical neuronal network,MarkerGeneBERT
28586384,neural stem cell,DACH1,human,neural|gabaergic neuron|cortical neuronal network,MarkerGeneBERT
28586384,neural stem cell,HES5,human,neural|gabaergic neuron|cortical neuronal network,MarkerGeneBERT
28586384,astrocytic,GFAP,human,neural|gabaergic neuron|cortical neuronal network,MarkerGeneBERT
28586384,human-derived,MAP2,human,neural|gabaergic neuron|cortical neuronal network,MarkerGeneBERT
28586384,neural stem cell,PAX6,human,neural|gabaergic neuron|cortical neuronal network,MarkerGeneBERT
28586384,neuronal culture,MAP2,human,neural|gabaergic neuron|cortical neuronal network,MarkerGeneBERT
28607484,expressing cell,NRG1,human,melanoma,MarkerGeneBERT
28607484,expressing cell,EGFR,human,melanoma,MarkerGeneBERT
28607484,APCDD1 cell,APCDD1,human,melanoma,MarkerGeneBERT
28607484,expressing cell,NRG1,human,melanoma,MarkerGeneBERT
28607484,expressing cell,EGFR,human,melanoma,MarkerGeneBERT
28607484,slow-cycling subpopulation,KDM5B,human,melanoma,MarkerGeneBERT
28607484,slow-cycling subpopulation,KDM5A,human,melanoma,MarkerGeneBERT
28614918,mesenchymal stem cell marker,CD44,human,periodontal ligament|vessel|perivascular,MarkerGeneBERT
28614918,mesenchymal stem cell marker,CD44,human,periodontal ligament|vessel|perivascular,MarkerGeneBERT
28614918,hematopoietic cell,CD34,human,periodontal ligament|vessel|perivascular,MarkerGeneBERT
28614918,hematopoietic cell,CD14,human,periodontal ligament|vessel|perivascular,MarkerGeneBERT
28654687,T cell,TIGIT,human,tif|jejunum|lymph node,MarkerGeneBERT
28654687,T cell,TIGIT,human,tif|jejunum|lymph node,MarkerGeneBERT
28749943,cord blood CD34 + cell,CD34,human,cord|blood,MarkerGeneBERT
28777835,tissue macrophage,CD14,human,ear|retinal pigment epithelium|eye,MarkerGeneBERT
28777835,PVR-02,CD14,human,ear|retinal pigment epithelium|eye,MarkerGeneBERT
28846088,glutamatergic neuron,RORB,human,cortex|hippocampu,MarkerGeneBERT
28904069,term human placenta,DLX5,human,placenta|placental,MarkerGeneBERT
28904069,trophectoderm,DLX5,human,placenta|placental,MarkerGeneBERT
28919263,endocrine progenitor,NEUROG3,human,pancrea|endocrine,MarkerGeneBERT
28919263,endocrine progenitor,RUNX1T1,human,pancrea|endocrine,MarkerGeneBERT
28919263,endocrine cell,RFX6,human,pancrea|endocrine,MarkerGeneBERT
28919263,endocrine cell,RFX6,human,pancrea|endocrine,MarkerGeneBERT
28919263,Pancreatic progenitor,MNX1,human,pancrea|endocrine,MarkerGeneBERT
28919263,endocrine progenitor,PAX6,human,pancrea|endocrine,MarkerGeneBERT
28919263,endocrine progenitor,NEUROD1,human,pancrea|endocrine,MarkerGeneBERT
28919263,endocrine progenitor,PAX4,human,pancrea|endocrine,MarkerGeneBERT
28931937,Staurosporine-treated cell,PARP2,human,melanoma,MarkerGeneBERT
28931937,Staurosporine-treated cell,CASP3,human,melanoma,MarkerGeneBERT
28957348,macrophage,ZG16B,human,pancrea|pancreatic,MarkerGeneBERT
28957348,macrophage,ZG16B,human,pancrea|pancreatic,MarkerGeneBERT
28957348,macrophage,CD68,human,pancrea|pancreatic,MarkerGeneBERT
28957348,M2-polarized macrophage,CD163,human,pancrea|pancreatic,MarkerGeneBERT
28957348,M2-polarized macrophage,CD163,human,pancrea|pancreatic,MarkerGeneBERT
28957348,macrophage,ZG16B,human,pancrea|pancreatic,MarkerGeneBERT
28957348,macrophage,CXCR4,human,pancrea|pancreatic,MarkerGeneBERT
28957348,stem cell,CD44,human,pancrea|pancreatic,MarkerGeneBERT
28957348,stem cell,CXCR4,human,pancrea|pancreatic,MarkerGeneBERT
28957348,macrophage,CD163,human,pancrea|pancreatic,MarkerGeneBERT
28957348,macrophage,FTL,human,pancrea|pancreatic,MarkerGeneBERT
28957348,macrophage,FTH1,human,pancrea|pancreatic,MarkerGeneBERT
28957348,human pancreatic stem cell marker,ALDH1A1,human,pancrea|pancreatic,MarkerGeneBERT
28957348,macrophage,CD163,human,pancrea|pancreatic,MarkerGeneBERT
28962665,human fibroblast,MYT1L,human,cortex|cerebral cortex|pulmonary tissue|lung,MarkerGeneBERT
28962665,neuron,TBR1,human,cortex|cerebral cortex|pulmonary tissue|lung,MarkerGeneBERT
28962665,"Ascl1, Brn2, and Myt11",Ascl1,human,cortex|cerebral cortex|pulmonary tissue|lung,MarkerGeneBERT
28962665,glial,GFAP,human,cortex|cerebral cortex|pulmonary tissue|lung,MarkerGeneBERT
28962665,neuronal,MAP2,human,cortex|cerebral cortex|pulmonary tissue|lung,MarkerGeneBERT
28962665,fibroblast,COL1A1,human,cortex|cerebral cortex|pulmonary tissue|lung,MarkerGeneBERT
28962665,neuronal,SATB2,human,cortex|cerebral cortex|pulmonary tissue|lung,MarkerGeneBERT
28962665,iCtx cell,SATB2,human,cortex|cerebral cortex|pulmonary tissue|lung,MarkerGeneBERT
28962665,neuronal,SATB2,human,cortex|cerebral cortex|pulmonary tissue|lung,MarkerGeneBERT
28962665,neuronal,TBR1,human,cortex|cerebral cortex|pulmonary tissue|lung,MarkerGeneBERT
28962665,neuronal,OTX1,human,cortex|cerebral cortex|pulmonary tissue|lung,MarkerGeneBERT
28962665,neuronal,FEZF2,human,cortex|cerebral cortex|pulmonary tissue|lung,MarkerGeneBERT
28962665,neuronal,SOX5,human,cortex|cerebral cortex|pulmonary tissue|lung,MarkerGeneBERT
28962665,neuronal,Tbr1,human,cortex|cerebral cortex|pulmonary tissue|lung,MarkerGeneBERT
28962665,neuronal,SATB2,human,cortex|cerebral cortex|pulmonary tissue|lung,MarkerGeneBERT
28962665,iCtx cell,SATB2,human,cortex|cerebral cortex|pulmonary tissue|lung,MarkerGeneBERT
28974640,neural stem cell,Sox11,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,neural stem cell,Sox4,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,neural stem cell,Egr1,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,neural stem cell,Fos,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,neural stem cell,Ascl1,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,neural stem cell marker,Vcam1,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,neural stem cell marker,Sox9,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,neural stem cell marker,Nr2e1,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,neural stem cell marker,Slc1a3,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,intermediate progenitors marker,Penk,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,intermediate progenitors marker,Ppp1r17,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,intermediate progenitors marker,Neurod4,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,intermediate progenitors marker,Neurod1,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,intermediate progenitors marker,Neurog1,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,intermediate progenitors marker,Elavl4,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,progenitor,Sox11,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,neural stem cell,Sox11,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,progenitor,Sox4,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,neural stem cell,Sox4,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,progenitor,Egr1,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,neural stem cell,Egr1,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,progenitor,Fos,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,neural stem cell,Fos,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,progenitor,Ascl1,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,neural stem cell,Ascl1,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,neural stem cell marker,Vcam1,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,neural stem cell marker,Sox9,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,neural stem cell marker,Nr2e1,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28974640,neural stem cell marker,Slc1a3,human|mouse,embryonic|brain|forebrain,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,NR6A1,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,SYCP3,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,SSX3,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,SYCE3,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,SOHLH2,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,ETV5,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,SALL4,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,ID4,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,FGFR3,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,BCL6,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,GFRA1,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Sertoli cell,GATA4,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,germ cell,DDX4,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Leydig cell,LHCGR,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,ETV5,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,SALL4,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,ID4,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,FGFR3,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,BCL6,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,GFRA1,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,TXNIP,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,L1TD1,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,BMPR1A,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,PIWIL2,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,TCF7,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,TXNIP,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,L1TD1,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,BMPR1A,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,PIWIL2,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
28985528,Human adult spermatogonial stem cell marker,TCF7,human,testi|seminiferous tubule|tubule,MarkerGeneBERT
29021220,H9 hESC,IV,human,embryo|luman,MarkerGeneBERT
29021220,H9 cell,ARL13B,human,embryo|luman,MarkerGeneBERT
29030469,neuronal,STMN2,human,neural|hindbrain|brain|spinal cord,MarkerGeneBERT
29030469,neuronal,DCX,human,neural|hindbrain|brain|spinal cord,MarkerGeneBERT
29030469,neuronal,STMN2,human,neural|hindbrain|brain|spinal cord,MarkerGeneBERT
29030469,neuronal,DCX,human,neural|hindbrain|brain|spinal cord,MarkerGeneBERT
29030469,neuron,STMN2,human,neural|hindbrain|brain|spinal cord,MarkerGeneBERT
29030469,neuron,DCX,human,neural|hindbrain|brain|spinal cord,MarkerGeneBERT
29030469,neural precursor cell,SOX2,human,neural|hindbrain|brain|spinal cord,MarkerGeneBERT
29030469,ES cell,NANOG,human,neural|hindbrain|brain|spinal cord,MarkerGeneBERT
29030469,neuronal cell,HES6,human,neural|hindbrain|brain|spinal cord,MarkerGeneBERT
29030469,neuronal cell,KLF7,human,neural|hindbrain|brain|spinal cord,MarkerGeneBERT
29030469,neuronal cell,MAP2,human,neural|hindbrain|brain|spinal cord,MarkerGeneBERT
29030469,stem cell,CDX2,human,neural|hindbrain|brain|spinal cord,MarkerGeneBERT
29030469,stem cell,LIN28A,human,neural|hindbrain|brain|spinal cord,MarkerGeneBERT
29030469,B cell,EBF3,human,neural|hindbrain|brain|spinal cord,MarkerGeneBERT
29030469,B cell,EBF2,human,neural|hindbrain|brain|spinal cord,MarkerGeneBERT
29030469,B cell,EBF1,human,neural|hindbrain|brain|spinal cord,MarkerGeneBERT
29030469,neural cell,PAX6,human,neural|hindbrain|brain|spinal cord,MarkerGeneBERT
29030469,neural cell,PAX6,human,neural|hindbrain|brain|spinal cord,MarkerGeneBERT
29061960,Th2,IL5,human,blood|peripheral blood,MarkerGeneBERT
29061960,Th2,IL4,human,blood|peripheral blood,MarkerGeneBERT
29061960,clone,CD69,human,blood|peripheral blood,MarkerGeneBERT
